College,CS Computers R1,CS Computers R2,"AD Artificial
Intel, Data Sc R1","AD Artificial
Intel, Data Sc R2","AI Artificial
Intelligence R1","AI Artificial
Intelligence R2"
E006 M S Ramaiah Institute of Technology Bangalore,2330,4889,2690,5667,5350,6900
"E048 B M S College of Engineering Basavanagudi,Bangalore",5232,8105,4050,4050,,
